PC1,PC2,PC3,domain,difficulty_level
-0.650669161476206,-0.9681464580240063,-0.8443967720376065,AI & ML,14
-0.16441846908360322,-0.6069789027869883,-0.35547485187473793,AI & ML,21
0.02400703680271229,-0.6634943295261064,-0.06995098774111,AI & ML,18
-0.4677534091136543,0.6858479262952609,1.3259952152913532,AI & ML,32
-1.8282578708916015,0.0321268253087171,-0.18192310354647734,AI & ML,27
-1.618693007505014,-0.09725686527458677,0.13249833223426602,AI & ML,46
-1.0128978402977795,0.20281661627514413,0.7151699699988534,AI & ML,63
0.2540587434026531,0.25559420951978873,2.0289735318697484,AI & ML,18
-0.6175629102330227,-1.7832953456985563,-1.1543690884833875,AI & ML,42
-0.6220275633737189,-2.035968651792867,-1.806131008004511,AI & ML,43
-1.028492231679089,-1.4171651790767483,-0.5924871201798004,AI & ML,45
-0.875712695050118,-0.5266782421365716,0.3281086113494651,AI & ML,58
-0.9819692325878511,-0.31646845013426095,1.5081445526318562,AI & ML,35
-0.6916573873306675,-0.2608207040290955,1.4450934510242441,AI & ML,42
-1.6803391477811056,0.40864725039875943,-0.5944954545949365,AI & ML,40
-0.31078078915163626,-1.373132866566206,0.6904874866684934,AI & ML,46
-0.6610964443123496,-1.056429920473242,0.5608099046256867,AI & ML,47
-0.9789728730400583,-0.349241109516962,0.45517909858756606,AI & ML,26
-2.5591329009391903,1.2839817385305137,0.7863686237716742,AI & ML,48
-0.5543497383807862,-0.9167499746967896,0.29398691463142024,AI & ML,32
-0.7641281386127968,-0.44504852822643454,1.8190836185949648,AI & ML,50
-0.7683490910572354,-0.7817781023957235,0.9493389907190022,AI & ML,47
-0.984076552337399,-0.5689128618619106,0.8553907435586371,AI & ML,33
-0.7931642507162622,-0.012655813899680932,1.747407836949381,AI & ML,42
-0.5528912424420611,-1.330989246541375,0.17188001418274865,AI & ML,19
-1.301021304225375,0.08735008516903268,1.5831924340630688,AI & ML,72
0.4459244688931917,-0.3060515807638991,0.67859489704102,AI & ML,48
-0.2974477406054865,-1.038396989462066,-0.12374470946356328,AI & ML,48
-0.37199525487401475,-0.8627301226905003,0.8837424959742997,AI & ML,30
-0.8899304639676229,-0.8102888218764072,-0.3698355586880869,AI & ML,14
-0.9805247051656732,-0.772541992659966,-1.2787818727372682,AI & ML,70
-1.0204825050858248,-1.6296220342794165,-1.1712794554001777,AI & ML,33
-0.5200686988855182,-1.3246619208340884,-0.5541657759052442,AI & ML,58
-2.5066167468882643,0.7261483776604338,-0.4968296309445268,AI & ML,52
0.09698754131380073,-1.2277308363651223,0.28346732871224056,AI & ML,17
-0.43836654904896855,-0.9518366921697212,0.5135262696252153,AI & ML,29
-1.3041712361953475,-0.5855952186729602,-0.15852351252009236,AI & ML,22
-0.9375299497120196,-1.0987697296877492,0.612442788979676,AI & ML,60
-2.2982475377656684,1.185208108350555,1.3432560663872257,AI & ML,16
